"db","X_id","X_rev","value","timestamp","study_id","uid"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000031_p000030_y2017","1-5ae498eda9b22a253f1eac0180d642e5","T","2018-12-28T15:38:48.406Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000032_p000024_y2017","1-4cbac1c404ca81f81d611ebdf8297858","T","2018-12-28T15:38:49.730Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000033_p000033_y2008","1-742de3d96886c3868ede74bee97a1f5c","N","2018-12-28T15:38:52.928Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000034_p000052_y2008","1-7cfee1e774e8153d170f996a674e7dad","N","2018-12-28T15:39:01.264Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000035_p000097_y2017","1-1554191c825ba55c218d997e6fc6f8e6","U","2018-12-28T15:39:04.579Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000036_p000074_y2017","1-77bab78bec5cbaed12b38af5e9b01d7d","T","2018-12-28T15:39:07.240Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000037_p000034_y2008","1-35832ec08a76c9f2248da3c36f7bb838","N","2018-12-28T15:39:08.555Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000038_p000027_y2008","1-044b4136831b11a8185538d14811a8ce","N","2018-12-28T15:39:09.826Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000039_p000029_y2008","1-2a49907e7a2b7e5ad072c8dc8b24d2e2","T","2018-12-28T15:39:11.126Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000040_p000017_y2017","1-31afe837af80acff0a3d6862c59f63b5","T","2018-12-28T15:39:12.954Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000041_p000039_y2017","1-6a5050b6bc376eb79f4d08734f767b21","N","2018-12-28T15:39:18.334Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000042_p000090_y2008","1-0423af19a06835b87e4db41008c688c7","N","2018-12-28T15:39:19.357Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000043_p000044_y2008","1-96b8dfb0b6caa8064741275dd3983bc1","N","2018-12-28T15:39:20.580Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000044_p000011_y2017","1-b1fb2a5f40bba477f26a33f0f4d735a0","N","2018-12-28T15:39:41.303Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000045_p000093_y2017","1-d1ec67b08cb415d7807a977d07570adb","T","2018-12-28T15:39:42.611Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000046_p000020_y2008","1-b579687d0ccd419187a51c733df4a851","N","2018-12-28T15:39:43.998Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000047_p000004_y2008","1-2ca5721d47f2ffca0c0d06b61b328b13","N","2018-12-28T15:39:45.066Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000048_p000020_y2017","1-fd124e744fac55f9cd791eb8285e7bf0","T","2018-12-28T15:39:49.686Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000049_p000096_y2008","1-88339e8a256134481526d0a6c03b8543","N","2018-12-28T15:39:51.006Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000050_p000012_y2017","1-63035b0d665c60f8477b2e7e23b8d857","U","2018-12-28T15:39:52.825Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000051_p000080_y2017","1-814585336772d7f4064ec6753b3d47bf","N","2018-12-28T15:39:58.151Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000052_p000081_y2017","1-fea3652f67beedaa3aec7a7ad47f481e","N","2018-12-28T15:39:59.483Z",NA,"A"
